Salesman_id,Product,Quantity,Sale_Amount,SalesmanName,SalesmanCommission,Area
1,table,13,5317, Valli,8932.56,Portland
1,rice,46,3772, Valli,6336.96,Portland
1,bottle,46,10212, Valli,17156.16,Portland
1,tshirt,46,18492, Valli,31066.56,Portland
1,iron,28,4340, Valli,7291.2,Portland
1,rice,25,2750, Valli,4620.0,Portland
1,mobile,13,1391, Valli,2336.88,Portland
1,mobile,30,3030, Valli,5090.4,Portland
1,mobile,7,1568, Valli,2634.24,Portland
1,iron,24,1944, Valli,3265.92,Portland
1,laptop,18,3204, Valli,5382.719999999999,Portland
1,pant,28,3024, Valli,5080.32,Portland
1,rice,13,1859, Valli,3123.12,Portland
1,rice,10,1370, Valli,2301.6,Portland
1,iron,33,16137, Valli,27110.16,Portland
1,apple,9,900, Valli,1512.0,Portland
1,pipe,21,2352, Valli,3951.36,Portland
1,pulse,24,6480, Valli,10886.4,Portland
1,wire,16,2160, Valli,3628.7999999999997,Portland
1,shirt,1,59, Valli,99.11999999999999,Portland
1,watch,10,3560, Valli,5980.8,Portland
1,,33,13530, Valli,22730.399999999998,Portland
1,mango,29,6177, Valli,10377.36,Portland
1,pulse,2,472, Valli,792.9599999999999,Portland
1,bulb,39,11115, Valli,18673.199999999997,Portland
1,chair,1,472, Valli,792.9599999999999,Portland
1,mobile,12,3636, Valli,6108.4800000000005,Portland
1,frames,10,4220, Valli,7089.6,Portland
1,ball,46,7590, Valli,12751.2,Portland
1,rice,16,1392, Valli,2338.56,Portland
1,wire,20,5020, Valli,8433.6,Portland
1,mango,25,4925, Valli,8274.0,Portland
1,plants,16,3856, Valli,6478.08,Portland
1,table,34,5032, Valli,8453.76,Portland
1,mobile,38,9728, Valli,16343.039999999999,Portland
1,grapes,10,4970, Valli,8349.6,Portland
1,watch,14,6930, Valli,11642.4,Portland
1,pulse,3,1329, Valli,2232.72,Portland
1,frames,43,2881, Valli,4840.08,Portland
1,frames,39,8229, Valli,13824.72,Portland
1,pulse,12,5436, Valli,9132.48,Portland
1,pen,5,795, Valli,1335.6000000000001,Portland
1,pant,10,2850, Valli,4788.0,Portland
1,wire,19,7980, Valli,13406.4,Portland
1,,22,10846, Valli,18221.28,Portland
1,apple,18,2484, Valli,4173.12,Portland
1,bed,28,13132, Valli,22061.76,Portland
1,shirt,30,5700, Valli,9576.0,Portland
1,chair,48,5088, Valli,8547.84,Portland
1,copy,23,7383, Valli,12403.44,Portland
1,earphone,30,6870, Valli,11541.6,Portland
1,copy,8,3848, Valli,6464.639999999999,Portland
1,plants,5,2275, Valli,3822.0,Portland
1,plants,2,916, Valli,1538.8799999999999,Portland
1,wire,26,2054, Valli,3450.72,Portland
1,pencil,29,4959, Valli,8331.119999999999,Portland
1,ball,44,20900, Valli,35112.0,Portland
1,pipe,1,294, Valli,493.91999999999996,Portland
1,bulb,5,1290, Valli,2167.2000000000003,Portland
1,iron,26,4706, Valli,7906.08,Portland
1,copy,19,6422, Valli,10788.96,Portland
1,mobile,39,12597, Valli,21162.96,Portland
1,apple,27,5103, Valli,8573.039999999999,Portland
1,wire,11,2090, Valli,3511.2000000000003,Portland
1,grapes,43,18017, Valli,30268.559999999998,Portland
1,shirt,33,5082, Valli,8537.76,Portland
1,bed,22,6248, Valli,10496.64,Portland
1,books,21,2352, Valli,3951.36,Portland
1,bed,48,4416, Valli,7418.88,Portland
1,bulb,17,2006, Valli,3370.08,Portland
1,balloons,12,3672, Valli,6168.96,Portland
1,apple,48,12192, Valli,20482.56,Portland
1,rice,45,14265, Valli,23965.199999999997,Portland
1,pen,23,2415, Valli,4057.2000000000003,Portland
1,bottle,23,7866, Valli,13214.880000000001,Portland
1,pencil,41,14637, Valli,24590.16,Portland
1,shirt,27,7263, Valli,12201.84,Portland
1,apple,4,1352, Valli,2271.36,Portland
1,slipper,15,4755, Valli,7988.4,Portland
1,mobile,6,1560, Valli,2620.8,Portland
1,toothpaste,42,14952, Valli,25119.36,Portland
1,balloons,48,2496, Valli,4193.28,Portland
1,bed,17,3264, Valli,5483.5199999999995,Portland
1,slipper,44,12760, Valli,21436.8,Portland
1,bulb,30,2460, Valli,4132.8,Portland
1,mobile,31,10137, Valli,17030.16,Portland
1,pencil,44,11528, Valli,19367.04,Portland
1,table,26,6162, Valli,10352.16,Portland
1,balloons,29,2088, Valli,3507.84,Portland
1,copy,41,14801, Valli,24865.679999999997,Portland
1,mobile,23,4991, Valli,8384.880000000001,Portland
1,pencil,23,3174, Valli,5332.32,Portland
1,bulb,43,9116, Valli,15314.88,Portland
1,chair,34,4896, Valli,8225.279999999999,Portland
1,pencil,25,6500, Valli,10920.0,Portland
1,rice,47,7567, Valli,12712.56,Portland
1,pen,33,10329, Valli,17352.719999999998,Portland
1,toothpaste,21,6153, Valli,10337.04,Portland
1,pipe,27,3915, Valli,6577.2,Portland
1,pulse,13,4849, Valli,8146.32,Portland
1,iron,15,1695, Valli,2847.6,Portland
1,,26,5720, Valli,9609.6,Portland
1,plants,47,3525, Valli,5921.999999999999,Portland
1,pipe,16,7568, Valli,12714.24,Portland
1,books,3,1107, Valli,1859.76,Portland
1,slipper,24,3360, Valli,5644.8,Portland
1,rice,37,14985, Valli,25174.8,Portland
1,mango,19,1862, Valli,3128.16,Portland
1,toothpaste,45,10080, Valli,16934.399999999998,Portland
1,iron,22,8140, Valli,13675.2,Portland
1,mobile,24,8400, Valli,14112.0,Portland
1,bulb,12,4320, Valli,7257.6,Portland
1,copy,48,10128, Valli,17015.04,Portland
1,copy,2,710, Valli,1192.8,Portland
1,chair,46,16238, Valli,27279.84,Portland
1,balloons,36,9828, Valli,16511.04,Portland
1,table,48,17856, Valli,29998.08,Portland
1,,7,2856, Valli,4798.08,Portland
1,rice,23,8533, Valli,14335.44,Portland
1,bulb,8,3968, Valli,6666.24,Portland
1,shoes,15,4665, Valli,7837.2,Portland
1,apple,12,5244, Valli,8809.92,Portland
1,laptop,50,17550, Valli,29484.0,Portland
1,copy,2,128, Valli,215.04,Portland
1,bed,41,9020, Valli,15153.599999999999,Portland
1,mango,24,9432, Valli,15845.76,Portland
1,mobile,30,2460, Valli,4132.8,Portland
1,balloons,1,422, Valli,708.9599999999999,Portland
1,pen,9,3447, Valli,5790.96,Portland
1,apple,14,5656, Valli,9502.08,Portland
1,plants,19,5149, Valli,8650.32,Portland
1,mobile,40,9920, Valli,16665.600000000002,Portland
